                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6823,                 3.2153,                 1.6706,                 1.5076,                 5.0171,                 1.5164,                0.00878,                0.54817,                0.12316,                0.06297,                 1.4698,                 3.6921,                 1.4543,                 1.1479,                 7.1371,                 1.2925,             0.00020006,             0.00020006,             0.00020006
                      2,                 1.6213,                  2.039,                 1.5733,                 1.4235,                 4.1056,                 1.4239,                0.00857,                0.56003,                0.11295,                0.05491,                 1.6443,                 3.5803,                 1.6669,                 1.2901,                 7.2392,                 1.4753,              0.0004062,              0.0004062,              0.0004062
                      3,                 1.6566,                  1.737,                 1.5846,                 1.4584,                 3.7778,                  1.438,                0.00909,                0.69267,                0.18457,                0.08946,                  1.624,                  3.499,                 1.6588,                 1.2989,                  7.036,                 1.4167,             0.00060386,             0.00060386,             0.00060386
                      4,                 1.6368,                 1.6342,                 1.5371,                 1.5027,                 3.3436,                  1.434,                0.00764,                0.65958,                0.19587,                0.09061,                 1.5624,                 3.0973,                 1.6139,                 1.3755,                  6.809,                 1.5275,             0.00079303,             0.00079303,             0.00079303
                      5,                 1.6187,                 1.6833,                 1.5439,                 1.5545,                 3.2581,                 1.4802,                 0.7692,                0.06678,                0.21303,                0.08909,                 1.6934,                 2.6045,                 1.9467,                  1.372,                 6.0045,                 1.7601,             0.00097371,             0.00097371,             0.00097371
                      6,                 1.6847,                 1.6622,                 1.5708,                 1.6217,                 2.9236,                  1.506,                 0.5665,                0.15912,                0.17226,                0.06472,                 2.0615,                 3.1555,                 2.3415,                 1.8762,                 5.9005,                 2.1258,              0.0011459,              0.0011459,              0.0011459
                      7,                 1.6838,                 1.6679,                 1.5781,                 1.6014,                 2.7257,                 1.5059,                0.53839,                0.17442,                0.15883,                0.05238,                 1.9639,                 3.8209,                 2.1697,                  1.849,                 5.0103,                 1.9746,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.6722,                  1.616,                 1.5905,                 1.6028,                 2.4831,                 1.5039,                0.30054,                0.26657,                0.20726,                0.07211,                  2.267,                 4.1228,                 2.7774,                 2.1355,                  4.792,                 2.5867,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.6569,                 1.5542,                 1.5798,                 1.6319,                 2.2142,                 1.5187,                0.51072,                0.20006,                 0.1325,                0.05062,                 1.9177,                 3.1696,                 2.2417,                 1.6252,                 3.8468,                 1.8975,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.6443,                 1.4701,                 1.5498,                 1.6299,                 1.9998,                 1.4928,                0.58245,                0.25297,                0.24039,                0.08864,                 2.0045,                 5.2108,                 1.9942,                 1.9102,                 5.3113,                 1.8615,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.6136,                 1.4173,                 1.5518,                 1.6186,                  1.897,                 1.5127,                0.28146,                0.36278,                0.27473,                0.11068,                 1.7626,                 2.8605,                 1.8025,                 1.8158,                 3.0863,                 1.8473,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.6122,                 1.3607,                 1.5287,                 1.6144,                 1.7684,                 1.4821,                0.63055,                0.33747,                0.34253,                0.12759,                 1.9247,                 2.6536,                  1.933,                 1.8478,                  2.587,                 1.8065,              0.0011461,              0.0011461,              0.0011461
